OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,GEOID10,CT10,LABEL,Shape_STAr,Shape_STLe,GEOID_INT,GEO_id,GEO_id2,GEO_displa,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,YEAR,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,Shape_Leng,WeaponLaws,AllCrimes,X,Y
1020,29,1019,1020,6037533104,533104,5331.04,3681315.94,7694.335435,6037533104,1400000US06037533104,6037533104,"Census Tract 5331.04, Los Angeles County, California",4346,2379,10,1,0,0,1786,170,32141,106,60,150,12,2016,0,0,6,0,0,0,2,0,1,0,0,12,1,0,0,0,1,5,7694.335435,1,29,-118.2244212,33.97669476
1021,0,1020,1021,6037533105,533105,5331.05,2054755.609,5798.473274,6037533105,1400000US06037533105,6037533105,"Census Tract 5331.05, Los Angeles County, California",2549,1767,0,66,0,0,716,0,34249,83,62,96,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5798.473274,0,0,-118.2164192,33.9828867
1022,3,1021,1022,6037533601,533601,5336.01,5893953.704,12278.0412,6037533601,1400000US06037533601,6037533601,"Census Tract 5336.01, Los Angeles County, California",4729,3463,19,0,61,97,1017,72,43445,148,105,422,0,2016,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12278.0412,0,3,-118.1942316,33.980497
1023,1,1022,1023,6037533602,533602,5336.02,7547774.518,14354.26904,6037533602,1400000US06037533602,6037533602,"Census Tract 5336.02, Los Angeles County, California",5393,3846,14,0,11,0,1507,15,45269,85,99,241,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14354.26904,0,1,-118.196529,33.97719759
1024,1,1023,1024,6037533501,533501,5335.01,4545068.575,8907.208648,6037533501,1400000US06037533501,6037533501,"Census Tract 5335.01, Los Angeles County, California",3189,2293,0,5,6,0,826,59,42381,126,64,205,22,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8907.208648,0,1,-118.2005892,33.98546137
1025,3,1024,1025,6037205120,205120,2051.2,15781287.82,20064.55417,6037205120,1400000US06037205120,6037205120,"Census Tract 2051.20, Los Angeles County, California",3554,2295,46,0,83,0,1110,20,36718,159,49,230,20,2016,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,20064.55417,0,3,-118.2118079,34.01875945
1195,6,1194,1195,6037203800,203800,2038,5246195.381,9451.847569,6037203800,1400000US06037203800,6037203800,"Census Tract 2038, Los Angeles County, California",5022,2758,10,0,76,0,2046,132,54307,190,61,356,53,2016,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,9451.847569,0,6,-118.1955878,34.04499052
1234,25,1233,1234,6037203900,203900,2039,4831432.285,12501.38832,6037203900,1400000US06037203900,6037203900,"Census Tract 2039, Los Angeles County, California",3071,2084,24,17,0,0,937,9,58384,75,65,115,0,2016,0,0,2,0,0,0,0,0,0,0,0,6,7,2,0,0,4,4,12501.38832,0,25,-118.1944965,34.03338309
1260,13,1259,1260,6037533603,533603,5336.03,8708231.903,16314.39566,6037533603,1400000US06037533603,6037533603,"Census Tract 5336.03, Los Angeles County, California",7114,4566,55,62,12,0,2268,151,45633,272,91,347,0,2016,0,0,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,4,16314.39566,0,13,-118.1952025,33.97275857
1859,108,1858,1859,6037553503,553503,5535.03,4556094.239,9558.944936,6037553503,1400000US06037553503,6037553503,"Census Tract 5535.03, Los Angeles County, California",2799,1636,323,0,83,0,701,56,59623,30,53,161,6,2016,1,0,10,7,1,1,5,0,16,0,0,2,37,0,0,3,14,10,9558.944936,1,108,-118.1541308,33.91305076
1860,110,1859,1860,6037552302,552302,5523.02,10339655.56,15064.83262,6037552302,1400000US06037552302,6037552302,"Census Tract 5523.02, Los Angeles County, California",3912,1562,283,0,868,3,1168,28,76174,21,79,215,25,2016,1,0,12,11,0,5,9,0,5,0,1,12,21,2,1,0,3,25,15064.83262,2,110,-118.0577792,33.90652687
1861,110,1860,1861,6037503104,503104,5031.04,5885569.527,10936.71662,6037503104,1400000US06037503104,6037503104,"Census Tract 5031.04, Los Angeles County, California",2681,1604,43,43,49,0,942,0,73596,92,57,73,12,2016,2,0,15,7,0,2,9,0,14,0,1,19,16,0,0,2,12,6,10936.71662,5,110,-118.0425591,33.92007534
1862,0,1861,1862,6037550602,550602,5506.02,15898558.63,16653.95145,6037550602,1400000US06037550602,6037550602,"Census Tract 5506.02, Los Angeles County, California",4750,3582,14,9,415,0,683,47,115716,37,83,387,57,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16653.95145,0,0,-118.1223757,33.95512971
1863,21,1862,1863,6037550601,550601,5506.01,12616449.54,14580.34144,6037550601,1400000US06037550601,6037550601,"Census Tract 5506.01, Los Angeles County, California",6002,3614,221,21,312,0,1538,296,70940,174,71,331,41,2016,3,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,12,14580.34144,0,21,-118.1171705,33.96227409
1864,406,1863,1864,6037550202,550202,5502.02,13614723.29,16709.75995,6037550202,1400000US06037550202,6037550202,"Census Tract 5502.02, Los Angeles County, California",5827,4287,138,61,470,8,534,329,72132,77,122,335,82,2016,5,0,28,10,3,80,21,0,31,0,8,44,90,2,0,0,12,67,16709.75995,5,406,-118.0897013,33.92128986
1865,92,1864,1865,6037550201,550201,5502.01,6150211.549,12809.61308,6037550201,1400000US06037550201,6037550201,"Census Tract 5502.01, Los Angeles County, California",2976,1972,32,14,160,47,636,115,69046,19,44,121,8,2016,1,0,5,4,1,1,14,0,14,1,3,6,19,2,0,0,9,10,12809.61308,2,92,-118.0840393,33.92834155
