OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,GEOID10,CT10,LABEL,Shape_STAr,Shape_STLe,GEOID_INT,GEO_id,GEO_id2,GEO_displa,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,YEAR,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,Shape_Leng,WeaponLaws,AllCrimes,X,Y
243,57,242,243,6037910808,910808,9108.08,115895258.9,62389.27912,6037910808,1400000US06037910808,6037910808,"Census Tract 9108.08, Los Angeles County, California",3305,2673,21,61,189,0,34,327,99671,26,42,160,29,2016,1,0,7,4,0,1,13,0,6,0,2,0,12,3,2,0,2,4,62389.27912,0,57,-118.3899328,34.46205417
245,86,244,245,6037930200,930200,9302,3285330139,459782.9114,6037930200,1400000US06037930200,6037930200,"Census Tract 9302, Los Angeles County, California",485,437,26,4,0,0,13,5,122102,0,35,27,0,2016,7,3,3,1,0,0,1,0,5,0,2,7,12,0,0,0,21,24,459782.9114,0,86,-118.2883299,34.34086675
246,141,245,246,6037910202,910202,9102.02,219064374.7,66558.0028,6037910202,1400000US06037910202,6037910202,"Census Tract 9102.02, Los Angeles County, California",5237,3739,331,39,508,0,413,207,108963,65,55,259,64,2016,10,1,15,18,2,3,19,0,10,0,4,8,15,2,4,0,15,13,66558.0028,2,141,-118.175045,34.62864638
248,282,247,248,6037920102,920102,9201.02,6757947957,433358.6174,6037920102,1400000US06037920102,6037920102,"Census Tract 9201.02, Los Angeles County, California",5772,4406,235,0,409,0,443,279,92058,36,49,170,34,2016,12,1,29,21,4,2,29,0,12,0,11,51,59,6,1,1,18,16,433358.6174,9,282,-118.5970587,34.63148331
255,12,254,255,6037920012,920012,9200.12,778144911.4,167395.7247,6037920012,1400000US06037920012,6037920012,"Census Tract 9200.12, Los Angeles County, California",1001,894,0,0,12,0,52,43,80760,0,13,16,0,2016,0,0,4,1,0,0,0,0,0,0,0,0,4,0,1,0,1,0,167395.7247,1,12,-118.3634042,34.59550225
256,5,255,256,6037920011,920011,9200.11,1757317642,248281.554,6037920011,1400000US06037920011,6037920011,"Census Tract 9200.11, Los Angeles County, California",261,188,24,0,9,0,17,23,84337,4,12,22,0,2016,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,248281.554,0,5,-118.4344532,34.5320979
257,15,256,257,6037910812,910812,9108.12,357244245.2,91983.90259,6037910812,1400000US06037910812,6037910812,"Census Tract 9108.12, Los Angeles County, California",407,395,0,0,0,0,4,8,75628,0,7,21,0,2016,0,0,5,1,0,0,2,0,1,0,1,0,5,0,0,0,0,0,91983.90259,0,15,-118.0806599,34.50119525
258,9,257,258,6037910811,910811,9108.11,3485719667,477835.434,6037910811,1400000US06037910811,6037910811,"Census Tract 9108.11, Los Angeles County, California",121,121,0,0,0,0,0,0,112693,0,20,12,0,2016,0,0,2,2,0,0,1,0,0,0,0,0,1,0,0,0,2,1,477835.434,0,9,-118.1478748,34.42091748
259,45,258,259,6037901213,901213,9012.13,668697631.7,139753.9746,6037901213,1400000US06037901213,6037901213,"Census Tract 9012.13, Los Angeles County, California",3904,3380,214,76,46,0,99,89,134519,8,49,204,9,2016,0,0,5,8,0,1,4,0,1,0,0,1,11,1,2,0,9,2,139753.9746,0,45,-118.3036307,34.62926509
260,116,259,260,6037901209,901209,9012.09,6415575698,567116.5154,6037901209,1400000US06037901209,6037901209,"Census Tract 9012.09, Los Angeles County, California",1323,1150,82,6,41,0,30,14,73364,11,46,52,3,2016,1,4,12,16,3,0,5,0,7,1,6,29,15,2,1,0,4,7,567116.5154,3,116,-118.5807526,34.7604059
