CT10,TOTAL_POP,WHITE,BLACK,AMER_IND,ASIAN,PAC_ISLND,OTHER,TWO_MORE,MEANINCOME,LESS_HS,HS_GRAD,SOME_COLGE,BA_HIGHER,AlcoholRel,Arson,Assault,Burglaries,FederalOff,FelonMisc,Fraud,Gambling,GrandTheft,Homicide,MentallyIl,Narcotics,Robberies,SexOffense,Suicide,Vagrancy,Vandalism,VehicBoatL,WeaponLaws,AllCrimes
550902,5946,4119,145,8,399,9,1075,191,73612,44,77,382,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
550901,4076,2887,133,0,375,0,487,194,62742,115,139,220,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
533902,4075,3084,6,13,14,0,917,41,46924,74,62,182,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
534406,4998,3795,0,0,9,0,1003,191,50656,211,118,239,18,1,0,20,3,0,0,4,0,9,0,0,7,18,2,0,0,9,18,2,93
534405,4269,2902,20,6,10,0,1244,87,45822,144,96,248,0,3,0,11,7,0,3,8,0,22,0,0,15,38,9,1,0,7,36,4,164
533703,4455,3451,0,0,0,0,946,58,48237,101,79,243,32,4,0,22,11,0,1,5,0,23,0,2,4,22,1,0,0,19,36,6,156
503602,4000,2613,53,0,549,10,605,170,125513,38,63,180,34,15,0,13,16,0,1,14,0,12,0,4,34,70,6,0,0,9,38,5,237
502302,3148,1275,95,22,43,10,1582,121,59999,54,42,178,4,8,0,18,4,0,2,1,0,17,0,2,18,24,2,0,0,10,7,4,117
502700,6692,3753,185,214,271,0,2023,246,73284,95,91,395,56,0,0,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0,2,0,11
502402,3784,1925,5,67,15,0,1627,145,81977,41,81,146,0,3,0,11,4,0,1,7,0,15,0,3,5,20,0,0,0,3,11,0,83
550300,8083,4593,76,168,1065,24,1872,285,80839,152,179,439,83,14,0,46,60,1,4,29,0,58,0,19,46,196,4,1,0,25,70,3,576
530902,4386,1149,9,26,219,0,2964,19,46318,157,74,176,34,8,0,20,5,0,5,5,0,16,0,5,20,19,5,2,0,32,12,6,160
531000,5340,1968,0,0,43,0,3257,72,52702,113,80,365,25,9,2,48,6,1,5,11,0,26,0,2,60,49,5,1,3,54,21,18,321
531102,3416,915,0,9,0,0,2462,30,47023,54,43,189,24,10,0,26,5,0,5,10,0,9,1,3,27,28,4,0,0,16,10,9,163
482522,4930,2113,29,0,2387,0,298,103,77566,72,81,201,33,1,0,8,7,0,1,2,0,5,0,1,6,25,1,0,0,4,7,6,74
530005,4518,1318,58,43,2432,0,595,72,81213,4,61,140,56,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3
408503,6572,2400,39,0,2874,0,1012,247,118065,42,52,330,49,2,1,7,41,0,3,17,0,5,1,0,4,48,2,1,1,16,2,0,151
407001,6471,2669,71,87,410,0,3012,222,79402,134,94,223,39,9,1,21,8,0,3,9,0,19,0,10,22,25,4,0,0,8,17,3,159
408302,4236,2092,0,47,569,0,1488,40,87561,12,50,324,8,1,0,14,9,3,0,5,0,13,1,0,6,23,3,0,0,8,7,0,93
533702,3606,2768,8,0,12,0,762,56,44045,137,42,89,10,1,1,16,11,0,1,6,0,8,0,0,9,25,2,1,0,13,14,3,111
533803,6160,4294,108,19,94,12,1540,93,48140,160,84,366,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
534202,5907,4464,6,17,36,0,1321,63,42505,294,128,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531602,4854,2867,28,0,0,0,1955,4,41480,239,118,349,0,16,0,35,11,0,4,5,0,32,4,4,38,74,4,1,0,34,18,6,286
533901,6391,4911,0,0,0,0,1436,44,49339,141,107,378,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534001,5013,3672,20,25,115,0,1129,52,47170,53,88,179,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
502500,4223,2797,41,101,48,0,1179,57,61796,42,41,260,33,18,3,33,48,2,5,39,0,88,0,4,41,211,0,1,5,30,131,2,661
530400,3806,1828,97,0,967,0,740,174,49582,91,90,149,49,6,1,47,14,0,6,6,0,20,1,14,55,85,13,5,2,48,30,6,359
501200,5354,2546,142,19,376,0,1956,315,95613,53,87,488,9,7,0,3,5,0,0,5,0,10,0,1,26,28,2,0,2,5,12,3,109
501501,2455,1481,56,0,230,0,557,131,122952,44,36,99,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501400,4225,1638,34,8,85,0,2377,83,63394,64,108,262,59,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,6
501300,7208,4028,84,0,334,0,2553,209,81735,16,143,457,55,0,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,3,0,9
500201,6193,4176,13,0,869,45,690,400,135227,25,69,374,136,1,0,3,12,0,1,9,0,4,0,0,2,21,0,2,0,4,3,0,62
500202,4768,3207,77,16,621,0,656,191,170051,49,69,230,116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
501503,4894,2200,69,44,135,0,2238,208,71853,129,100,224,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
501504,3496,1584,39,9,185,9,1586,84,46971,28,97,83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
531301,5323,2547,16,0,4,0,2722,34,45431,177,87,270,0,13,0,29,9,0,5,13,0,51,0,3,28,52,11,1,0,25,15,7,262
