FID,X,Y
234449,-118.2921735,33.93432003
234453,-118.299973,33.95058762
234913,-118.2452085,33.96075237
235589,-118.1229799,34.68292998
235618,-118.1908279,34.02409584
235640,-117.8391168,33.96722743
235700,-118.2390822,33.91405983
235905,-117.9749848,34.01395977
235982,-118.2555238,33.96994431
235984,-118.2627884,33.91028798
235992,-118.2094498,33.91238973
236096,-118.0847197,33.86696268
236526,-118.0717683,34.10014034
236699,-118.1915371,33.89688161
236776,-117.9172388,34.02640156
237322,-118.2453563,33.97044253
238471,-118.2196759,33.83168892
238543,-118.0482812,33.89954469
238564,-118.065371,34.01779228
238804,-118.2038816,33.88843996
238813,-118.0788414,34.56023905
238834,-118.1626711,34.0068187
239159,-118.0301346,34.04689119
239169,-118.1910356,34.02411855
239805,-118.0901729,33.96181096
239811,-118.0720637,33.90876794
240110,-118.1933154,33.99416832
240302,-118.2144738,33.92513421
240305,-118.247673,33.95440317
240355,-117.8440237,34.08572105
240431,-118.2765721,33.86533766
240940,-118.150022,33.8715889
240957,-117.9863379,34.12577319
241042,-118.2505394,33.88859557
241044,-118.1768136,33.96218142
241090,-118.2072363,33.83812604
241096,-118.1775062,33.89628083
